#Device,LCX200
#Device Name,RS-LCX200-02169.local
#Format,LOG
#Date,2025-02-20
#Version,02.036 001FCD160E
#Serial No.,102169
#Logging Interval[s],0.0
#Mode,Unlimited
#Start Time,17:44:05
#Stop Time,17:44:21
#Actual Count,0000000021
Timestamp,Ls[H],Rs[Ohm],Z[Ohm],Θd[°],IBias[A],Bias Enable,Ext. Voltage Enable,Voltage[V],Frequency[Hz]
17:44:06.275,3.85275E-06,1.04639E-02,2.63723E-02,6.66232E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,1.00000E+03
17:44:07.259,3.29957E-06,1.37944E-02,1.25153E-01,8.36720E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,6.00000E+03
17:44:08.072,3.25039E-06,2.23172E-02,2.25756E-01,8.43267E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,1.10000E+04
17:44:08.888,3.20193E-06,3.42459E-02,3.23710E-01,8.39272E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,1.60000E+04
17:44:09.704,3.16057E-06,4.75566E-02,4.19729E-01,8.34942E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,2.10000E+04
17:44:10.518,3.12052E-06,6.22048E-02,5.13558E-01,8.30430E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,2.60000E+04
17:44:11.332,3.08114E-06,7.86526E-02,6.05272E-01,8.25335E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,3.10000E+04
17:44:12.049,3.04462E-06,9.57335E-02,6.95298E-01,8.20860E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,3.60000E+04
17:44:12.869,3.00985E-06,1.12496E-01,7.83488E-01,8.17447E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,4.10000E+04
17:44:13.685,2.97779E-06,1.29725E-01,8.70381E-01,8.14285E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,4.60000E+04
17:44:14.503,2.94792E-06,1.48056E-01,9.56171E-01,8.10923E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,5.10000E+04
17:44:15.320,2.91986E-06,1.66637E-01,1.04080E+00,8.07871E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,5.60000E+04
17:44:16.132,2.89371E-06,1.85358E-01,1.12447E+00,8.05120E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,6.10000E+04
17:44:16.944,2.86882E-06,2.04751E-01,1.20716E+00,8.02347E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,6.60000E+04
17:44:17.760,2.84552E-06,2.23709E-01,1.28897E+00,8.00053E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,7.10000E+04
17:44:18.574,2.82354E-06,2.42629E-01,1.36996E+00,7.97987E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,7.60000E+04
17:44:19.388,2.80280E-06,2.61811E-01,1.45028E+00,7.95997E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,8.10000E+04
17:44:20.203,2.78259E-06,2.81343E-01,1.52968E+00,7.94017E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,8.60000E+04
17:44:21.020,2.76369E-06,3.00676E-01,1.60854E+00,7.92267E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,9.10000E+04
17:44:21.833,2.74512E-06,3.20584E-01,1.68657E+00,7.90425E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,9.60000E+04
17:44:22.651,2.73158E-06,3.36625E-01,1.74900E+00,7.89032E+01,0.00000E+00,FALSE,FALSE,2.00000E+00,1.00000E+05
