time,MODE,POSITION,VELOCITY,TORQUE,Q_CURRENT,D_CURRENT,POWER,VOLTAGE,TEMPERATURE,FAULT
0.003705263137817383,0,-0.3954315185546875,-0.027648095041513443,0.0,0.010539423674345016,0.05266781896352768,0.0,35.0,25.0,0
0.031580209732055664,10,-0.3945465087890625,0.18334007263183594,0.006491279695183039,0.9031204581260681,0.028088491410017014,0.09225451946258545,35.0,25.0,0
0.05912971496582031,10,-0.3817291259765625,0.6757058501243591,0.03391731157898903,4.718856334686279,0.34900233149528503,0.6957682967185974,35.0,26.0,0
0.0867149829864502,10,-0.3509979248046875,1.4571592807769775,0.0078400494530797,1.0907723903656006,-0.40399861335754395,0.30612391233444214,34.5,26.0,0
0.11428308486938477,10,-0.30450439453125,1.7352238893508911,0.033408623188734055,4.648083686828613,0.005459929816424847,0.5852917432785034,35.0,26.0,0
0.14181065559387207,10,-0.245758056640625,2.520714282989502,0.005460199434310198,0.7596680521965027,-0.17663483321666718,0.423194944858551,35.0,25.0,0
0.16945242881774902,10,-0.170135498046875,3.0287113189697266,0.030099356546998024,4.187671184539795,-0.9305537939071655,0.2665647268295288,35.0,26.0,0
0.19709205627441406,10,-0.0782623291015625,3.4060218334198,0.015627888962626457,2.174281120300293,-0.08100935816764832,0.6309083700180054,35.0,26.0,0
0.22476911544799805,10,0.027496337890625,3.9448909759521484,0.027524061501026154,3.8293747901916504,0.47397178411483765,1.1189476251602173,35.0,26.0,0
0.25240325927734375,10,0.1490478515625,4.639720439910889,0.025214461609721184,3.5080442428588867,0.27444469928741455,0.9165630340576172,35.0,26.0,0
0.28006792068481445,10,0.2866058349609375,5.30886173248291,0.0206084493547678,2.3583972454071045,-0.05350170657038689,0.5636138319969177,35.0,26.0,0
0.30774402618408203,10,0.438751220703125,5.69879674911499,0.01667911373078823,2.3205361366271973,-0.33212974667549133,0.8221326470375061,35.0,26.0,0
0.3352797031402588,10,0.605865478515625,6.107668876647949,0.04596085846424103,6.394454479217529,0.6494564414024353,2.360915422439575,35.0,26.0,0
0.3629720211029053,10,0.7891387939453125,6.9795451164245605,0.024389129132032394,3.393217086791992,0.34746623039245605,0.4266446828842163,35.0,26.0,0
0.39056897163391113,10,0.9877166748046875,7.332303524017334,0.0395905077457428,5.5081586837768555,-0.15285567939281464,0.9915127158164978,34.5,26.0,0
0.41822075843811035,10,1.1995849609375,7.9821648597717285,0.022702530026435852,3.1585633754730225,1.1529282331466675,1.1370817422866821,35.0,26.0,0
0.44585466384887695,10,1.4300079345703125,8.731512069702148,0.012976277619600296,1.80536687374115,0.3140520453453064,0.34132832288742065,35.0,26.0,0
0.4733908176422119,10,1.671478271484375,9.183881759643555,0.031207969412207603,4.341910362243652,-1.0444505214691162,2.3789052963256836,35.0,26.0,0
0.5009140968322754,10,1.9322662353515625,9.785764694213867,0.008451452478766441,1.1758358478546143,0.36326608061790466,0.41602787375450134,35.0,26.0,0
0.5285472869873047,10,2.20367431640625,10.358609199523926,0.024700162932276726,3.0217432975769043,0.9591261744499207,1.1962542533874512,35.0,26.0,0
0.5561070442199707,10,2.4954681396484375,10.838111877441406,0.007965619675815105,1.1082427501678467,0.5963101983070374,0.47353827953338623,35.0,26.0,0
0.5836491584777832,10,2.7969512939453125,11.77086067199707,0.012709627859294415,1.768268346786499,0.3068172335624695,0.2382637858390808,35.0,26.0,0
0.6112184524536133,10,3.117095947265625,11.50969409942627,0.05719058960676193,7.956827163696289,-0.36033639311790466,4.863171577453613,34.5,25.0,0
0.6388087272644043,10,3.45330810546875,12.335026741027832,0.00408210651949048,0.567936360836029,-0.3186042308807373,0.6988196969032288,35.0,26.0,0
0.6664755344390869,10,3.8002166748046875,12.587874412536621,0.06718536466360092,9.347382545471191,0.7405089735984802,6.974543571472168,35.0,26.0,0
0.6941707134246826,10,4.167572021484375,12.829398155212402,0.08495554327964783,11.819717407226562,1.910934329032898,9.772334098815918,35.0,26.0,0
0.7217376232147217,10,4.5517730712890625,14.04296875,0.01858452521264553,2.585632562637329,1.1712901592254639,0.9235241413116455,35.0,26.0,0
0.7493417263031006,10,4.947540283203125,15.045334815979004,0.002867162460461259,0.39890334010124207,0.47388070821762085,0.04856714606285095,34.5,26.0,0
0.7768757343292236,10,5.3568115234375,15.605286598205566,0.0036863198038190603,0.512871265411377,-0.27293238043785095,0.3191431164741516,35.0,26.0,0
0.8045377731323242,10,5.7831573486328125,15.72700023651123,0.02620299533009529,3.6455771923065186,-2.073347568511963,3.2105793952941895,35.0,26.0,0
0.8320732116699219,10,6.2244720458984375,16.049888610839844,0.04962193965911865,6.903814315795898,0.280911922454834,6.552318572998047,35.0,25.0,0
0.8596205711364746,10,6.6817779541015625,16.533939361572266,0.05330049619078636,7.415605545043945,0.6332667469978333,6.885589599609375,35.0,26.0,0
0.8871803283691406,10,7.154083251953125,16.998302459716797,0.04172779992222786,5.805516242980957,1.5191148519515991,5.6463303565979,35.0,25.0,0
0.9147689342498779,10,7.6410980224609375,17.4387264251709,0.05540890246629715,7.708944320678711,1.475189447402954,7.462691307067871,35.0,26.0,0
0.9425790309906006,10,8.143295288085938,17.965463638305664,0.059514667838811874,8.600997924804688,0.9679700136184692,8.629072189331055,35.0,26.0,0
0.9701764583587646,10,8.66632080078125,18.69585418701172,0.044590797275304794,6.203840255737305,0.29794928431510925,6.6617302894592285,35.0,26.0,0
0.9977538585662842,10,9.19781494140625,19.363142013549805,0.04179226607084274,5.8144850730896,-0.9253513216972351,4.9825897216796875,35.0,25.0,0
