time,POSITION,VELOCITY,TORQUE,Q_CURRENT,D_CURRENT,REZERO_STATE,VOLTAGE,TEMPERATURE,FAULT,MODE,POWER
0.0030853748321533203,13451.9794921875,0.02998548373579979,0.0,0,0,0,33.0,55.0,0,0,0
0.030009984970092773,13451.9814453125,0.47135859727859497,0.004786671604961157,0,0,0,33.0,55.0,0,10,0
0.05719590187072754,13452.00390625,1.2280851602554321,0.038301095366477966,0,0,0,33.0,55.0,0,10,0
0.08413028717041016,13452.05078125,2.0436344146728516,0.022826185449957848,0,0,0,32.5,55.0,0,10,0
0.11107945442199707,13452.1181640625,2.7931020259857178,0.025466958060860634,0,0,0,33.0,54.0,0,10,0
0.13802242279052734,13452.2080078125,3.742440700531006,0.014516801573336124,0,0,0,33.0,55.0,0,10,0
0.16495537757873535,13452.318359375,4.409982681274414,0.04356910288333893,0,0,0,33.0,54.0,0,10,0
0.19196105003356934,13452.4521484375,5.376489639282227,0.01658613421022892,0,0,0,33.0,55.0,0,10,0
0.21894049644470215,13452.6064453125,6.0887908935546875,0.024569790810346603,0,0,0,33.0,55.0,0,10,0
0.24593305587768555,13452.783203125,6.917710304260254,0.021276269108057022,0,0,0,33.0,55.0,0,10,0
0.2730858325958252,13452.9833984375,7.764470100402832,0.0243722852319479,0,0,0,33.0,55.0,0,10,0
0.29994750022888184,13453.2021484375,8.678844451904297,0.021258462220430374,0,0,0,33.0,55.0,0,10,0
0.3271152973175049,13453.447265625,9.466416358947754,0.009449166245758533,0,0,0,33.0,54.0,0,10,0
0.35406494140625,13453.7099609375,10.37531852722168,0.03131841495633125,0,0,0,33.0,55.0,0,10,0
0.38095903396606445,13453.998046875,11.171619415283203,0.00507942121475935,0,0,0,33.0,54.0,0,10,0
0.40808796882629395,13454.302734375,12.41673755645752,0.002185506746172905,0,0,0,33.0,55.0,0,10,0
0.4350144863128662,13454.634765625,12.28294849395752,0.059060174971818924,0,0,0,32.5,54.0,0,10,0
0.4619450569152832,13454.9873046875,13.383910179138184,0.027502043172717094,0,0,0,33.0,55.0,0,10,0
0.4890251159667969,13455.357421875,14.160005569458008,0.048689909279346466,0,0,0,32.5,54.0,0,10,0
0.5160470008850098,13455.75390625,15.100614547729492,0.04290049523115158,0,0,0,33.0,54.0,0,10,0
0.5429520606994629,13456.171875,15.405272483825684,0.06352970749139786,0,0,0,33.0,55.0,0,10,0
0.5699222087860107,13456.611328125,16.484718322753906,0.037504278123378754,0,0,0,33.0,54.0,0,10,0
0.5971519947052002,13457.0771484375,17.33326530456543,0.03889003396034241,0,0,0,33.0,55.0,0,10,0
0.6241021156311035,13457.5595703125,18.490644454956055,0.007324989885091782,0,0,0,33.0,54.0,0,10,0
0.6510028839111328,13458.0625,19.003704071044922,0.023220539093017578,0,0,0,33.0,55.0,0,10,0
0.6779301166534424,13458.587890625,19.774139404296875,0.040362775325775146,0,0,0,33.0,54.0,0,10,0
0.7050659656524658,13459.1357421875,20.395219802856445,0.05894423648715019,0,0,0,33.0,54.0,0,10,0
0.7320291996002197,13459.70703125,21.33478546142578,0.06536441296339035,0,0,0,33.0,54.0,0,10,0
0.7590014934539795,13460.296875,22.309694290161133,0.04386090487241745,0,0,0,33.0,54.0,0,10,0
0.7859532833099365,13460.9111328125,23.611108779907227,0.020091308280825615,0,0,0,33.0,55.0,0,10,0
0.8129584789276123,13461.5478515625,24.25580596923828,0.02154436521232128,0,0,0,33.0,54.0,0,10,0
0.8400652408599854,13462.205078125,24.507028579711914,0.06087580695748329,0,0,0,33.0,54.0,0,10,0
0.8672850131988525,13462.8896484375,26.02210807800293,0.019253764301538467,0,0,0,33.0,54.0,0,10,0
0.8943929672241211,13463.595703125,26.318031311035156,0.0384800024330616,0,0,0,33.0,54.0,0,10,0
0.9213612079620361,13464.3203125,27.084489822387695,0.06395312398672104,0,0,0,33.0,54.0,0,10,0
0.9483811855316162,13465.0673828125,28.045455932617188,0.030987316742539406,0,0,0,33.0,54.0,0,10,0
0.9753322601318359,13465.83203125,29.062829971313477,0.03441029042005539,0,0,0,33.0,54.0,0,10,0
1.0024428367614746,13466.623046875,29.256540298461914,0.04736929386854172,0,0,0,33.0,54.0,0,10,0
1.0296096801757812,13467.4375,30.729488372802734,0.03185340389609337,0,0,0,33.0,54.0,0,10,0
