,,,,,,,,,,,,,,,,,,,,,,,,,
,,Device history data,,,,,,,,,,,,,,,,,,,,,,,
,Device,TMM 12026-3 I   HBC-SERIES,,,,,,,,,,,,,,,,,,,,,,,
,Type,HBC-Series,,,,,,,,,,,,,,,,,,,,,,,
,Firmware,5.75,,,,,,,,,,,,,,,,,,,,,,,
,Serial number,52FF6D066571525319151687,,,,,,,,,,,,,,,,,,,,,,,
,Created,"27/02/2024, 12:22",,MGM ProTool v3.5.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Input voltage,Input current,Motor revolutions WRONG ,Motor revolutions,Controller temperature,Peak current,Battery internal voltage,Main bus voltage,Input request,Incoming power,Cruising speed (car),Motor temperature,Battery temperature,Output power,Automatic regulation,I*T fuse,Low voltage,High current,ESC overheated,Motor overheated,Battery overheated,HW current fuse,HW overvoltage/undervoltage,Pulse current
,,[V],[A],[x100rpm],[x100rpm],[°C],[A],[V],[V],[%],[W],[km/h],[°C],[°C],[%],,,,,,,,,,[A]
,4s,16.696,0.5,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 100ms,16.696,0.3,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 200ms,16.679,0.3,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 300ms,16.696,0.5,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 400ms,16.696,0.5,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 500ms,16.696,0.5,0,0,18,1,16.714,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 600ms,16.696,0,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 700ms,16.714,0.3,0,0,18,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 800ms,16.696,0.1,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 900ms,16.748,0.5,0,0,18,4,16.679,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s,16.644,0.1,0,0,19,2,16.714,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 100ms,16.661,0.5,0,0,19,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 200ms,16.661,0.5,0,0,18,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 300ms,16.644,0.1,0,0,18,1,16.644,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 400ms,16.696,0.3,0,0,18,1,16.644,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 500ms,16.661,0.5,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 600ms,16.696,0.3,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 700ms,16.661,0.1,0,0,19,2,16.644,10.364,0.98,0,0,18,0,0.98,0,0,0,0,0,0,0,0,0,10.3
,5s 800ms,16.696,0.3,0,0,19,2,16.766,10.364,3.922,0,0,18,0,3.922,0,0,0,0,0,0,0,0,0,7.7
,5s 900ms,16.592,4.8,0,0,19,60,16.627,10.364,8.824,80,0,18,0,8.824,0,0,0,0,0,0,0,0,0,54.9
,6s,16.644,3.2,11.2,15.68,18,34,16.609,10.364,11.765,50,10.5,18,0,11.765,0,0,0,0,0,0,0,0,0,27.4
,6s 100ms,16.627,4.8,19.3,27.02,18,45,16.661,10.364,14.706,80,18.1,18,0,14.706,0,0,0,0,0,0,0,0,0,32.9
,6s 200ms,16.644,5,26.2,36.68,18,54,16.557,10.364,16.667,80,24.6,18,0,16.667,0,0,0,0,0,0,0,0,0,30.2
,6s 300ms,16.592,4.1,26.9,37.66,18,35,16.627,10.364,16.667,60,25.2,18,0,16.667,0,0,0,0,0,0,0,0,0,24.8
,6s 400ms,16.609,3.9,26.9,37.66,18,38,16.574,10.364,16.667,60,25.2,18,0,16.667,0,0,0,0,0,0,0,0,0,23.6
,6s 500ms,16.592,5.1,27.4,38.36,18,39,16.557,10.318,17.647,80,25.7,18,0,17.647,0,0,0,0,0,0,0,0,0,29.1
,6s 600ms,16.539,6.2,30.3,42.42,18,47,16.522,10.318,19.608,100,28.4,18,0,19.608,0,0,0,0,0,0,0,0,0,31.9
,6s 700ms,16.539,6.6,33.9,47.46,19,17,16.522,10.364,21.569,110,31.8,18,0,21.569,0,0,0,0,0,0,0,0,0,30.9
,6s 800ms,16.522,6.9,35.7,49.98,18,54,16.487,10.364,22.549,110,33.5,18,0,22.549,0,0,0,0,0,0,0,0,0,30.9
,6s 900ms,16.505,7.8,37.1,51.94,18,48,16.522,10.364,23.529,120,34.8,18,0,23.529,0,0,0,0,0,0,0,0,0,33.4
,7s,16.557,8.5,38.2,53.48,18,66,16.505,10.364,24.51,140,35.9,18,0,24.51,0,0,0,0,0,0,0,0,0,35
,7s 100ms,16.418,9.8,40.7,56.98,18,70,16.435,10.364,26.471,160,38.2,18,0,26.471,0,0,0,0,0,0,0,0,0,37.3
,7s 200ms,16.4,9.8,41.6,58.24,18,84,16.365,10.364,26.471,160,39.1,18,0,26.471,0,0,0,0,0,0,0,0,0,37.3
,7s 300ms,16.452,9.2,42.6,59.64,18,74,16.383,10.364,27.451,150,40,18,0,27.451,0,0,0,0,0,0,0,0,0,33.8
,7s 400ms,16.4,9.2,42.6,59.64,18,75,16.348,10.364,27.451,150,40,18,0,27.451,0,0,0,0,0,0,0,0,0,33.8
,7s 500ms,16.4,9.8,42.6,59.64,19,78,16.452,10.364,27.451,160,40,18,0,27.451,0,0,0,0,0,0,0,0,0,36
,7s 600ms,16.452,10,42.9,60.06,19,79,16.522,10.364,27.451,160,40.3,18,0,27.451,0,0,0,0,0,0,0,0,0,36.7
,7s 700ms,16.47,10.3,43.2,60.48,18,80,16.47,10.364,27.451,170,40.6,18,0,27.451,0,0,0,0,0,0,0,0,0,37.8
,7s 800ms,16.4,10.3,43.2,60.48,18,75,16.4,10.364,27.451,170,40.6,18,0,27.451,0,0,0,0,0,0,0,0,0,37.8
,7s 900ms,16.487,11.6,44.5,62.3,17,93,16.365,10.364,29.412,190,41.8,18,0,29.412,0,0,0,0,0,0,0,0,0,39.8
,8s,16.313,11.9,47.3,66.22,17,89,16.383,10.364,31.373,190,44.4,18,0,31.373,0,0,0,0,0,0,0,0,0,38.3
,8s 100ms,16.244,15,49.9,69.86,17,107,16.296,10.364,33.333,240,46.9,18,0,33.333,0,0,0,0,0,0,0,0,0,45.4
,8s 200ms,16.122,18.5,53.3,74.62,18,136,16.296,10.364,37.255,300,50.1,18,0,37.255,0,0,0,0,0,0,0,0,0,50.1
,8s 300ms,16.087,20,57.6,80.64,18,138,16.104,10.364,40.196,320,54.1,18,0,40.196,0,0,0,0,0,0,0,0,0,50.2
,8s 400ms,15.948,22.5,61.4,85.96,18,143,16.017,10.364,43.137,360,57.7,18,0,43.137,0,0,0,0,0,0,0,0,0,52.6
,8s 500ms,15.826,25.3,65,91,19,122,15.948,10.364,46.078,400,61.1,18,0,46.078,0,0,0,0,0,0,0,0,0,55.4
,8s 600ms,15.791,27.8,67.9,95.06,19,128,15.913,10.364,50,440,63.8,17,0,50,0,0,0,0,0,0,0,0,0,56.1
,8s 700ms,15.599,30.8,71.5,100.1,19,139,15.652,10.318,52.941,480,67.2,17,0,52.941,0,0,0,0,0,0,0,0,0,58.7
,8s 800ms,15.53,31.6,72.7,101.78,18,133,16.487,10.318,52.941,490,68.3,17,0,52.941,0,0,0,0,0,0,0,0,0,60.2
,8s 900ms,15.582,32.5,74.1,103.74,18,138,16.452,10.364,54.902,510,69.6,18,0,54.902,0,0,0,0,0,0,0,0,0,59.7
,9s,15.425,35.1,75.5,105.7,19,141,16.47,10.364,56.863,540,70.9,18,0,56.863,0,0,0,0,0,0,0,0,0,62.3
,9s 100ms,15.373,36.2,77.3,108.22,19,149,16.452,10.364,57.843,560,72.6,18,0,57.843,0,0,0,0,0,0,0,0,0,63.1
,9s 200ms,15.321,37.8,77.7,108.78,19,143,16.522,10.364,58.824,580,73,18,0,58.824,0,0,0,0,0,0,0,0,0,64.8
,9s 300ms,15.234,41.2,79.9,111.86,18,148,16.435,10.364,60.784,630,75.1,18,0,60.784,0,0,0,0,0,0,0,0,0,68.4
,9s 400ms,15.182,44.1,82.2,115.08,18,154,16.244,10.364,63.725,670,77.2,18,0,63.725,0,0,0,0,0,0,0,0,0,69.8
,9s 500ms,15.112,44.1,82.8,115.92,17,153,16.487,10.318,63.725,670,77.8,18,0,63.725,0,0,0,0,0,0,0,0,0,69.8
,9s 600ms,15.129,45.5,82.8,115.92,18,154,16.348,10.364,63.725,690,77.8,18,0,63.725,0,0,0,0,0,0,0,0,0,72.1
,9s 700ms,14.746,50.5,84.1,117.74,17,169,16.174,10.364,68.627,750,79,18,0,67.647,0,0,0,0,0,0,0,0,0,75.3
,9s 800ms,14.659,60.7,89.6,125.44,17,159,16.226,10.364,72.549,890,84.2,18,0,72.549,0,0,0,0,0,0,0,0,0,84.4
,9s 900ms,14.363,63.9,91.9,128.66,17,168,16.104,10.318,76.471,920,86.3,18,0,75.49,0,0,0,0,0,0,0,0,0,85.4
,10s,14.085,71.4,94.6,132.44,19,168,16.087,10.318,80.392,1010,88.9,18,0,80.392,0,0,0,0,0,0,0,0,0,89.6
,10s 100ms,13.911,77.8,97.1,135.94,20,195,15.948,10.364,83.333,1090,91.2,18,0,83.333,0,0,0,0,0,0,0,0,0,94.2
,10s 200ms,13.824,78.7,97.6,136.64,19,215,15.965,10.364,84.314,1090,91.7,18,0,84.314,0,0,0,0,0,0,0,0,0,94.2
,10s 300ms,13.649,81.9,99.4,139.16,19,201,15.808,10.364,86.275,1120,93.4,18,0,86.275,0,0,0,0,0,0,0,0,0,95.8
,10s 400ms,13.632,83.7,99.6,139.44,18,204,15.965,10.318,87.255,1140,93.6,18,0,87.255,0,0,0,0,0,0,0,0,0,96.8
,10s 500ms,13.615,83.5,99.4,139.16,20,191,15.895,10.364,87.255,1140,93.4,18,0,87.255,0,0,0,0,0,0,0,0,0,96.6
,10s 600ms,13.545,83,99.6,139.44,20,200,15.808,10.318,87.255,1130,93.6,17,0,87.255,0,0,0,0,0,0,0,0,0,96
,10s 700ms,13.545,81.7,99.9,139.86,19,207,15.878,10.364,87.255,1110,93.9,17,0,87.255,0,0,0,0,0,0,0,0,0,94.5
,10s 800ms,13.615,82.8,99.6,139.44,19,185,15.721,10.318,87.255,1130,93.6,17,0,87.255,0,0,0,0,0,0,0,0,0,95.8
,10s 900ms,13.545,83.9,99.6,139.44,19,186,15.791,10.364,87.255,1140,93.6,17,0,87.255,0,0,0,0,0,0,0,0,0,97
,11s,13.423,84.2,99.9,139.86,19,196,15.861,10.364,87.255,1130,93.9,17,0,87.255,0,0,0,0,0,0,0,0,0,97.4
,11s 100ms,13.423,84.8,99.9,139.86,20,179,15.808,10.318,87.255,1140,93.9,17,0,87.255,0,0,0,0,0,0,0,0,0,98.1
,11s 200ms,14.067,68,96.9,135.66,20,194,16.035,10.364,80.392,960,91,17,0,80.392,0,0,0,0,0,0,0,0,0,85.4
,11s 300ms,14.05,66.6,94.3,132.02,20,172,15.93,10.364,78.431,940,88.6,17,0,78.431,0,0,0,0,0,0,0,0,0,85.7
,11s 400ms,14.241,66.7,93.7,131.18,19,153,15.948,10.364,78.431,950,88,17,0,78.431,0,0,0,0,0,0,0,0,0,85.8
,11s 500ms,13.789,76.7,95.6,133.84,21,172,15.843,10.364,83.333,1060,89.8,17,0,83.333,0,0,0,0,0,0,0,0,0,92.9
,11s 600ms,13.667,81,98.2,137.48,20,195,16.052,10.318,85.294,1110,92.3,17,0,85.294,0,0,0,0,0,0,0,0,0,95.8
,11s 700ms,13.336,80,98.2,137.48,20,186,15.652,10.318,85.294,1070,92.3,17,0,85.294,0,0,0,0,0,0,0,0,0,94.7
,11s 800ms,13.754,86.9,98.5,137.9,20,190,14.99,10.364,85.294,1200,92.5,17,0,85.294,0,0,0,0,0,0,0,0,0,102.8
,11s 900ms,13.441,79.6,98.9,138.46,21,199,15.721,10.364,85.294,1070,92.9,18,0,85.294,0,0,0,0,0,0,0,0,0,94.2
,12s,13.649,80.3,98.7,138.18,22,200,15.756,10.318,85.294,1100,92.7,18,0,85.294,0,0,0,0,0,0,0,0,0,95
,12s 100ms,13.562,81.6,98.9,138.46,21,185,15.808,10.318,86.275,1110,92.9,18,0,86.275,0,0,0,0,0,0,0,0,0,95.5
,12s 200ms,13.545,80.5,98.9,138.46,21,194,15.721,10.318,86.275,1090,92.9,18,0,86.275,0,0,0,0,0,0,0,0,0,94.2
,12s 300ms,13.58,79.8,98.7,138.18,22,174,15.791,10.364,86.275,1090,92.7,17,0,86.275,0,0,0,0,0,0,0,0,0,93.4
,12s 400ms,13.684,80.3,98.9,138.46,21,186,15.669,10.364,86.275,1100,92.9,17,0,86.275,0,0,0,0,0,0,0,0,0,93.9
,12s 500ms,13.649,81.7,98.9,138.46,21,183,15.721,10.318,86.275,1120,92.9,17,0,86.275,0,0,0,0,0,0,0,0,0,95.6
,12s 600ms,13.562,82.5,99.4,139.16,21,188,15.756,10.364,87.255,1120,93.4,17,0,87.255,0,0,0,0,0,0,0,0,0,95.4
,12s 700ms,13.458,83.2,99.4,139.16,22,177,15.843,10.364,87.255,1120,93.4,17,0,87.255,0,0,0,0,0,0,0,0,0,96.2
,12s 800ms,13.371,85.7,100.1,140.14,22,182,15.739,10.364,89.216,1150,94,17,0,89.216,0,0,0,0,0,0,0,0,0,97
,12s 900ms,13.127,89.4,101,141.4,21,168,15.756,10.318,90.196,1180,94.9,17,0,90.196,0,0,0,0,0,0,0,0,0,100
,13s,13.179,90.7,101.5,142.1,22,173,15.669,10.318,91.176,1200,95.4,17,0,91.176,0,0,0,0,0,0,0,0,0,100.4
,13s 100ms,13.319,89.6,101.7,142.38,21,172,15.547,10.318,91.176,1200,95.5,17,0,91.176,0,0,0,0,0,0,0,0,0,99.2
,13s 200ms,13.075,91,102,142.8,22,164,15.634,10.364,92.157,1190,95.8,17,0,92.157,0,0,0,0,0,0,0,0,0,99.7
,13s 300ms,13.075,93,102.5,143.5,22,165,15.495,10.364,93.137,1220,96.3,17,0,93.137,0,0,0,0,0,0,0,0,0,100.8
,13s 400ms,13.145,93.9,102.5,143.5,22,173,15.617,10.364,94.118,1240,96.3,17,0,94.118,0,0,0,0,0,0,0,0,0,100.7
,13s 500ms,13.005,95.3,103.2,144.48,22,174,15.704,10.364,94.118,1240,97,17,0,94.118,0,0,0,0,0,0,0,0,0,102.2
,13s 600ms,12.988,97.5,103.5,144.9,22,171,15.617,10.364,95.098,1270,97.2,17,0,95.098,0,0,0,0,0,0,0,0,0,103.5
,13s 700ms,12.692,99.1,104,145.6,21,178,15.565,10.364,96.078,1260,97.7,17,0,96.078,0,0,0,0,0,0,0,0,0,104.1
,13s 800ms,12.779,100.3,104.2,145.88,21,177,15.512,10.364,96.078,1290,97.9,17,0,96.078,0,0,0,0,0,0,0,0,0,105.4
,13s 900ms,12.779,100.3,104.5,146.3,22,177,15.512,10.364,97.059,1290,98.2,16,0,97.059,0,0,0,0,0,0,0,0,0,104.3
,14s,12.587,102.3,104.7,146.58,22,167,15.338,10.364,97.059,1290,98.4,16,0,97.059,0,0,0,0,0,0,0,0,0,106.4
,14s 100ms,12.657,101.7,104.7,146.58,22,174,15.39,10.364,97.059,1290,98.4,16,0,97.059,0,0,0,0,0,0,0,0,0,105.8
,14s 200ms,12.674,101.9,105,147,22,175,15.495,10.364,98.039,1300,98.7,16,0,98.039,0,0,0,0,0,0,0,0,0,104.9
,14s 300ms,12.605,103.3,105.5,147.7,22,177,15.373,10.318,98.039,1310,99.1,17,0,98.039,0,0,0,0,0,0,0,0,0,106.3
,14s 400ms,12.535,103.5,105.3,147.42,23,168,15.634,10.364,99.02,1300,98.9,17,0,99.02,0,0,0,0,0,0,0,0,0,105.5
,14s 500ms,11.995,105.5,105.8,148.12,22,175,15.303,10.364,99.02,1270,99.4,17,0,99.02,0,0,0,0,0,0,0,0,0,107.5
,14s 600ms,12.239,114.4,107.1,149.94,22,178,15.39,10.364,100,1410,100.6,17,0,100,0,0,0,0,0,0,0,0,0,115.5
,14s 700ms,12.309,113.7,107.4,150.36,22,134,15.373,10.364,100,1410,100.9,17,0,100,0,0,0,0,0,0,0,0,0,114.8
,14s 800ms,12.274,113.5,107.4,150.36,23,134,15.164,10.364,100,1400,100.9,17,0,100,0,0,0,0,0,0,0,0,0,114.6
,14s 900ms,12.187,112.8,107.4,150.36,23,144,15.373,10.364,100,1380,100.9,17,0,100,0,0,0,0,0,0,0,0,0,113.9
,15s,12.222,112.6,107.4,150.36,23,134,15.338,10.364,100,1380,100.9,17,0,100,0,0,0,0,0,0,0,0,0,113.7
,15s 100ms,12.204,113.2,107.4,150.36,23,137,15.338,10.364,100,1390,100.9,17,0,100,0,0,0,0,0,0,0,0,0,114.3
,15s 200ms,12.204,113,107.4,150.36,23,159,15.286,10.364,100,1380,100.9,17,0,100,0,0,0,0,0,0,0,0,0,114.1
,15s 300ms,12.187,113.2,107.1,149.94,24,153,15.321,10.364,100,1390,100.6,17,0,100,0,0,0,0,0,0,0,0,0,114.3
,15s 400ms,12.222,113.9,107.1,149.94,24,156,15.338,10.364,100,1400,100.6,17,0,100,0,0,0,0,0,0,0,0,0,115
,15s 500ms,12.239,113.2,107.1,149.94,24,134,15.321,10.364,100,1390,100.6,17,0,100,0,0,0,0,0,0,0,0,0,114.3
,15s 600ms,12.17,113.3,106.8,149.52,23,134,15.356,10.364,100,1380,100.3,17,0,100,0,0,0,0,0,0,0,0,0,114.4
,15s 700ms,12.17,113.2,106.8,149.52,23,141,15.39,10.364,100,1380,100.3,17,0,100,0,0,0,0,0,0,0,0,0,114.3
,15s 800ms,12.239,112.3,106.8,149.52,23,133,15.286,10.364,100,1380,100.3,17,0,100,0,0,0,0,0,0,0,0,0,113.4
,15s 900ms,12.152,113.2,106.8,149.52,24,133,15.286,10.318,100,1380,100.3,17,0,100,0,0,0,0,0,0,0,0,0,114.3
,16s,12.17,112.6,106.8,149.52,25,151,15.286,10.364,100,1380,100.3,17,0,100,0,0,0,0,0,0,0,0,0,113.7
,16s 100ms,12.117,113.2,106.6,149.24,26,161,15.234,10.364,100,1380,100.2,17,0,100,0,0,0,0,0,0,0,0,0,114.3
,16s 200ms,12.117,112.5,106.6,149.24,25,133,15.321,10.364,100,1370,100.2,17,0,100,0,0,0,0,0,0,0,0,0,113.6
,16s 300ms,12.135,112.3,106.8,149.52,24,139,15.321,10.364,100,1370,100.3,17,0,100,0,0,0,0,0,0,0,0,0,113.4
,16s 400ms,12.135,112.6,106.6,149.24,23,135,15.286,10.364,100,1370,100.2,17,0,100,0,0,0,0,0,0,0,0,0,113.7
,16s 500ms,12.152,112.8,106.6,149.24,23,134,15.303,10.364,100,1380,100.2,17,0,100,0,0,0,0,0,0,0,0,0,113.9
,16s 600ms,12.204,112.5,106.6,149.24,24,158,15.251,10.364,100,1380,100.2,16,0,100,0,0,0,0,0,0,0,0,0,113.6
,16s 700ms,12.117,112.6,106.6,149.24,23,132,15.269,10.364,100,1370,100.2,16,0,100,0,0,0,0,0,0,0,0,0,113.7
,16s 800ms,12.152,112.6,106.6,149.24,23,134,15.321,10.364,100,1370,100.2,16,0,100,0,0,0,0,0,0,0,0,0,113.7
,16s 900ms,12.17,110.5,106.6,149.24,23,132,15.269,10.364,100,1350,100.2,16,0,100,0,0,0,0,0,0,0,0,0,111.5
,17s,12.152,112.1,106.6,149.24,23,130,15.234,10.364,100,1370,100.2,16,0,100,0,0,0,0,0,0,0,0,0,113.1
,17s 100ms,12.117,111.9,106.6,149.24,23,132,15.286,10.364,100,1360,100.2,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,17s 200ms,12.117,112.1,106.6,149.24,24,133,15.251,10.364,100,1360,100.2,16,0,100,0,0,0,0,0,0,0,0,0,113.1
,17s 300ms,12.117,112.1,106.3,148.82,24,152,15.269,10.364,100,1360,99.9,17,0,100,0,0,0,0,0,0,0,0,0,113.1
,17s 400ms,12.152,112.5,106.3,148.82,24,156,15.234,10.364,100,1370,99.9,17,0,100,0,0,0,0,0,0,0,0,0,113.6
,17s 500ms,12.135,112.1,106.3,148.82,24,140,15.269,10.364,100,1370,99.9,17,0,100,0,0,0,0,0,0,0,0,0,113.1
,17s 600ms,12.117,112.1,106.3,148.82,24,158,15.269,10.364,100,1360,99.9,17,0,100,0,0,0,0,0,0,0,0,0,113.1
,17s 700ms,12.065,112.6,106,148.4,24,153,15.234,10.364,100,1360,99.6,17,0,100,0,0,0,0,0,0,0,0,0,113.7
,17s 800ms,12.379,112.6,106,148.4,25,133,15.234,10.364,100,1400,99.6,17,0,100,0,0,0,0,0,0,0,0,0,113.7
,17s 900ms,12.135,112.6,106,148.4,25,154,15.216,10.364,100,1370,99.6,17,0,100,0,0,0,0,0,0,0,0,0,113.7
