,,,,,,,,,,,,,,,,,,,,,,,,,
,,Device history data,,,,,,,,,,,,,,,,,,,,,,,
,Device,TMM 12026-3 I   HBC-SERIES,,,,,,,,,,,,,,,,,,,,,,,
,Type,HBC-Series,,,,,,,,,,,,,,,,,,,,,,,
,Firmware,5.75,,,,,,,,,,,,,,,,,,,,,,,
,Serial number,52FF6D066571525319151687,,,,,,,,,,,,,,,,,,,,,,,
,Created,"27/02/2024, 12:22",,MGM ProTool v3.5.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Input voltage,Input current,Motor revolutions WRONG ,Motor revolutions,Controller temperature,Peak current,Battery internal voltage,Main bus voltage,Input request,Incoming power,Cruising speed (car),Motor temperature,Battery temperature,Output power,Automatic regulation,I*T fuse,Low voltage,High current,ESC overheated,Motor overheated,Battery overheated,HW current fuse,HW overvoltage/undervoltage,Pulse current
,,[V],[A],[x100rpm],[x100rpm],[°C],[A],[V],[V],[%],[W],[km/h],[°C],[°C],[%],,,,,,,,,,[A]
,18s,12.1,112.5,106,148.4,25,137,15.269,10.364,100,1370,99.6,16,0,100,0,0,0,0,0,0,0,0,0,113.6
,18s 100ms,12.1,112.8,106,148.4,24,159,15.251,10.364,100,1370,99.6,16,0,100,0,0,0,0,0,0,0,0,0,113.9
,18s 200ms,12.135,112.3,105.8,148.12,24,137,15.234,10.364,100,1370,99.4,16,0,100,0,0,0,0,0,0,0,0,0,113.4
,18s 300ms,12.048,112.3,105.8,148.12,24,143,15.216,10.364,100,1360,99.4,16,0,100,0,0,0,0,0,0,0,0,0,113.4
,18s 400ms,12.083,112.5,105.8,148.12,24,153,15.164,10.364,100,1360,99.4,16,0,100,0,0,0,0,0,0,0,0,0,113.6
,18s 500ms,12.1,112.1,105.8,148.12,24,143,15.216,10.364,100,1360,99.4,16,0,100,0,0,0,0,0,0,0,0,0,113.1
,18s 600ms,12.239,112.6,105.8,148.12,24,159,15.199,10.364,100,1380,99.4,16,0,100,0,0,0,0,0,0,0,0,0,113.7
,18s 700ms,12.135,112.3,106,148.4,24,138,15.164,10.364,100,1370,99.6,16,0,100,0,0,0,0,0,0,0,0,0,113.4
,18s 800ms,12.152,111.9,105.8,148.12,25,155,15.112,10.364,100,1370,99.4,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,18s 900ms,12.065,111.9,105.8,148.12,26,152,15.199,10.364,100,1360,99.4,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,19s,12.083,111.7,105.8,148.12,26,158,15.199,10.364,100,1350,99.4,17,0,100,0,0,0,0,0,0,0,0,0,112.7
,19s 100ms,12.065,112.1,105.8,148.12,25,132,15.182,10.364,100,1360,99.4,17,0,100,0,0,0,0,0,0,0,0,0,113.1
,19s 200ms,11.543,111.9,105.5,147.7,25,133,15.112,10.364,100,1300,99.1,17,0,100,0,0,0,0,0,0,0,0,0,112.9
,19s 300ms,12.1,111.9,105.8,148.12,25,132,15.216,10.364,100,1360,99.4,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,19s 400ms,12.117,111.9,105.8,148.12,24,132,15.182,10.364,100,1360,99.4,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,19s 500ms,12.03,111.6,105.8,148.12,25,149,15.164,10.364,100,1350,99.4,16,0,100,0,0,0,0,0,0,0,0,0,112.6
,19s 600ms,12.083,111.7,105.8,148.12,25,140,15.199,10.364,100,1350,99.4,16,0,100,0,0,0,0,0,0,0,0,0,112.7
,19s 700ms,12.03,111.6,105.8,148.12,25,149,15.164,10.364,100,1350,99.4,16,0,100,0,0,0,0,0,0,0,0,0,112.6
,19s 800ms,12.1,111.7,105.8,148.12,25,148,15.129,10.364,100,1360,99.4,16,0,100,0,0,0,0,0,0,0,0,0,112.7
,19s 900ms,12.048,111,105.5,147.7,25,132,15.147,10.364,100,1340,99.1,16,0,100,0,0,0,0,0,0,0,0,0,112
,20s,12.048,111.9,105.5,147.7,26,136,15.164,10.364,100,1350,99.1,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,20s 100ms,12.048,111.9,105.5,147.7,25,132,15.129,10.364,100,1350,99.1,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,20s 200ms,12.065,112.1,105.5,147.7,25,142,15.164,10.364,100,1360,99.1,16,0,100,0,0,0,0,0,0,0,0,0,113.1
,20s 300ms,12.03,111.9,105.5,147.7,25,137,15.164,10.364,100,1350,99.1,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,20s 400ms,12.083,111.9,105.3,147.42,25,137,15.112,10.364,100,1360,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,20s 500ms,12.1,112.8,105.3,147.42,26,132,15.147,10.364,100,1370,98.9,16,0,100,0,0,0,0,0,0,0,0,0,113.9
,20s 600ms,12.083,110.8,105.3,147.42,26,131,15.164,10.364,100,1340,98.9,16,0,100,0,0,0,0,0,0,0,0,0,111.8
,20s 700ms,12.03,111.6,105.3,147.42,26,132,15.129,10.364,100,1350,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.6
,20s 800ms,11.821,111.9,105.3,147.42,26,131,15.112,10.364,100,1330,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,20s 900ms,12.1,111.7,105.3,147.42,25,137,15.216,10.364,100,1360,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.7
,21s,12.065,111.6,105,147,25,151,15.147,10.364,100,1350,98.7,16,0,100,0,0,0,0,0,0,0,0,0,112.6
,21s 100ms,12.065,111.9,105.3,147.42,25,133,15.129,10.364,100,1360,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,21s 200ms,12.03,111.9,105.3,147.42,25,150,15.129,10.364,100,1350,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,21s 300ms,11.891,111.6,105,147,25,133,15.129,10.364,100,1330,98.7,16,0,100,0,0,0,0,0,0,0,0,0,112.6
,21s 400ms,12.048,111.4,105.3,147.42,25,150,15.129,10.364,100,1350,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.4
,21s 500ms,12.03,111.6,105,147,25,154,15.147,10.364,100,1350,98.7,16,0,100,0,0,0,0,0,0,0,0,0,112.6
,21s 600ms,12.013,111.7,105.3,147.42,26,155,15.147,10.364,100,1350,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.7
,21s 700ms,12.03,111.6,105,147,26,139,15.129,10.364,100,1350,98.7,16,0,100,0,0,0,0,0,0,0,0,0,112.6
,21s 800ms,12.03,111.6,105.3,147.42,26,131,15.094,10.364,100,1350,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.6
,21s 900ms,12.013,111.4,105.3,147.42,26,148,15.129,10.364,100,1340,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.4
,22s,12.048,111.4,105.3,147.42,26,147,14.973,10.364,100,1350,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.4
,22s 100ms,12.013,111.9,105.3,147.42,26,131,15.094,10.364,100,1350,98.9,16,0,100,0,0,0,0,0,0,0,0,0,112.9
,22s 200ms,12.239,102.3,103.5,144.9,25,168,15.599,10.409,99.02,1260,97.2,16,0,99.02,0,0,0,0,0,0,0,0,0,104.3
,22s 300ms,12.309,102.3,103.2,144.48,24,169,14.294,10.364,99.02,1260,97,15,0,99.02,0,0,0,0,0,0,0,0,0,104.3
,22s 400ms,12.291,101,103,144.2,24,168,15.164,10.318,99.02,1250,96.8,15,0,99.02,0,0,0,0,0,0,0,0,0,103
,22s 500ms,12.291,100.7,102.7,143.78,26,164,15.234,10.364,98.039,1240,96.5,15,0,98.039,0,0,0,0,0,0,0,0,0,103.7
,22s 600ms,12.379,101,102.5,143.5,25,169,15.182,10.364,98.039,1250,96.3,15,0,98.039,0,0,0,0,0,0,0,0,0,104
,22s 700ms,12.344,100,102.5,143.5,20,168,15.007,10.364,98.039,1240,96.3,16,0,98.039,0,0,0,0,0,0,0,0,0,103
,22s 800ms,12.257,99.6,102.5,143.5,21,168,15.199,10.364,97.059,1230,96.3,16,0,97.059,0,0,0,0,0,0,0,0,0,103.6
,22s 900ms,12.379,98.2,102,142.8,25,163,15.216,10.364,97.059,1220,95.8,16,0,97.059,0,0,0,0,0,0,0,0,0,102.1
,23s,12.483,98.2,102,142.8,25,156,15.112,10.318,97.059,1230,95.8,16,0,97.059,0,0,0,0,0,0,0,0,0,102.1
,23s 100ms,12.518,98.9,102,142.8,26,161,15.182,10.318,97.059,1240,95.8,16,0,97.059,0,0,0,0,0,0,0,0,0,102.8
,23s 200ms,12.413,97.6,101.7,142.38,26,162,15.164,10.364,97.059,1220,95.5,16,0,97.059,0,0,0,0,0,0,0,0,0,101.5
,23s 300ms,12.466,97.8,101.7,142.38,27,160,15.251,10.364,97.059,1220,95.5,16,0,97.059,0,0,0,0,0,0,0,0,0,101.7
,23s 400ms,12.466,97.3,101.7,142.38,27,162,15.129,10.364,97.059,1220,95.5,16,0,97.059,0,0,0,0,0,0,0,0,0,101.2
,23s 500ms,12.535,97.6,101.7,142.38,27,166,15.199,10.318,96.078,1230,95.5,16,0,96.078,0,0,0,0,0,0,0,0,0,102.5
,23s 600ms,12.587,97.8,101.7,142.38,26,166,15.182,10.364,96.078,1240,95.5,16,0,96.078,0,0,0,0,0,0,0,0,0,102.7
,23s 700ms,12.535,97.8,101.7,142.38,26,167,15.234,10.364,96.078,1230,95.5,16,0,96.078,0,0,0,0,0,0,0,0,0,102.7
,23s 800ms,12.413,96.4,101.7,142.38,27,165,15.112,10.364,96.078,1200,95.5,16,0,96.078,0,0,0,0,0,0,0,0,0,101.3
,23s 900ms,12.535,96.2,101.5,142.1,25,161,15.216,10.364,96.078,1210,95.4,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,24s,12.518,96.9,101.5,142.1,24,156,15.129,10.364,96.078,1220,95.4,16,0,96.078,0,0,0,0,0,0,0,0,0,101.8
,24s 100ms,12.57,96.4,101.5,142.1,25,160,15.182,10.364,96.078,1220,95.4,16,0,96.078,0,0,0,0,0,0,0,0,0,101.3
,24s 200ms,12.518,96.4,101.5,142.1,28,163,15.234,10.364,96.078,1210,95.4,16,0,96.078,0,0,0,0,0,0,0,0,0,101.3
,24s 300ms,12.483,95.8,101.5,142.1,28,161,15.182,10.318,96.078,1200,95.4,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,24s 400ms,12.674,96,101.5,142.1,28,164,15.199,10.318,96.078,1220,95.4,16,0,96.078,0,0,0,0,0,0,0,0,0,100.8
,24s 500ms,12.674,96,101.5,142.1,27,163,15.182,10.364,96.078,1220,95.4,16,0,96.078,0,0,0,0,0,0,0,0,0,100.8
,24s 600ms,12.744,95.8,101.5,142.1,27,163,15.077,10.364,96.078,1230,95.4,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,24s 700ms,12.57,96.6,101.3,141.82,26,165,15.077,10.318,96.078,1220,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,24s 800ms,12.535,95.3,101.3,141.82,28,165,15.199,10.364,96.078,1200,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,100.1
,24s 900ms,12.518,96.2,101.3,141.82,26,156,15.373,10.364,96.078,1210,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,25s,12.553,96.2,101.3,141.82,27,161,15.216,10.364,96.078,1210,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,25s 100ms,12.483,97.3,101.3,141.82,27,159,15.286,10.364,96.078,1220,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,102.2
,25s 200ms,12.692,94.8,101.3,141.82,29,159,15.216,10.364,96.078,1210,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,99.6
,25s 300ms,12.483,96.2,101.3,141.82,28,163,15.094,10.318,96.078,1210,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,25s 400ms,12.535,96.2,101.3,141.82,28,165,15.147,10.364,96.078,1210,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,25s 500ms,12.431,95.8,101.3,141.82,28,149,15.164,10.364,96.078,1200,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,25s 600ms,12.448,96.7,101,141.4,28,159,15.042,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.6
,25s 700ms,12.413,96.2,101,141.4,28,160,14.99,10.364,96.078,1200,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,25s 800ms,12.535,96.6,101,141.4,28,162,15.199,10.364,96.078,1220,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,25s 900ms,12.674,96.2,101.3,141.82,28,155,15.199,10.318,96.078,1220,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,26s,12.657,95.8,101,141.4,28,154,15.147,10.318,96.078,1220,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,26s 100ms,12.379,97.5,101,141.4,28,156,15.199,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,102.4
,26s 200ms,12.518,96.4,101,141.4,28,158,15.199,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.3
,26s 300ms,12.518,95.5,101.3,141.82,28,154,15.164,10.364,96.078,1200,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,100.3
,26s 400ms,12.535,95.7,101.3,141.82,28,152,15.129,10.318,96.078,1200,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,100.5
,26s 500ms,12.674,96,101.3,141.82,29,164,15.164,10.364,96.078,1220,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,100.8
,26s 600ms,12.5,95.7,101.3,141.82,29,153,15.147,10.318,96.078,1200,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,100.5
,26s 700ms,12.57,95.7,101,141.4,28,159,15.321,10.318,96.078,1210,94.9,17,0,96.078,0,0,0,0,0,0,0,0,0,100.5
,26s 800ms,12.901,96.6,101,141.4,28,157,15.164,10.364,96.078,1250,94.9,17,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,26s 900ms,12.448,96.6,101.3,141.82,31,158,15.129,10.318,96.078,1210,95.2,17,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,27s,12.587,96.6,101.3,141.82,32,157,15.234,10.364,96.078,1220,95.2,17,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,27s 100ms,12.553,96.7,101.3,141.82,32,155,15.182,10.364,96.078,1220,95.2,17,0,96.078,0,0,0,0,0,0,0,0,0,101.6
,27s 200ms,12.553,97.6,101.3,141.82,29,152,15.251,10.364,96.078,1230,95.2,17,0,96.078,0,0,0,0,0,0,0,0,0,102.5
,27s 300ms,12.518,95.8,101.3,141.82,29,163,15.077,10.318,96.078,1200,95.2,17,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,27s 400ms,12.553,96,101.3,141.82,29,160,15.182,10.364,96.078,1210,95.2,16,0,96.078,0,0,0,0,0,0,0,0,0,100.8
,27s 500ms,12.396,95.8,101,141.4,29,162,15.112,10.318,96.078,1190,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,27s 600ms,12.57,96.2,101,141.4,30,159,15.164,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,27s 700ms,12.344,98.2,101,141.4,29,160,15.321,10.364,96.078,1220,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,103.2
,27s 800ms,12.483,95.8,101,141.4,30,155,15.182,10.364,96.078,1200,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,27s 900ms,12.483,96.7,101,141.4,29,132,15.182,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.6
,28s,12.5,96.2,101,141.4,28,160,15.06,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,28s 100ms,12.57,96.7,101,141.4,28,155,15.025,10.364,96.078,1220,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.6
,28s 200ms,12.5,98,101,141.4,29,152,15.129,10.364,96.078,1230,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,103
,28s 300ms,12.535,98.2,101,141.4,29,160,15.286,10.318,96.078,1240,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,103.2
,28s 400ms,12.553,96.7,101,141.4,30,159,15.216,10.364,96.078,1220,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.6
,28s 500ms,12.448,96.2,100.8,141.12,30,156,15.565,10.364,96.078,1200,94.7,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,28s 600ms,12.483,96,101,141.4,28,154,15.164,10.364,96.078,1200,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,100.8
,28s 700ms,12.483,95.8,100.8,141.12,28,154,15.599,10.318,96.078,1200,94.7,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,28s 800ms,12.535,96.4,101,141.4,31,117,15.164,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.3
,28s 900ms,12.535,95.8,100.8,141.12,31,127,15.164,10.318,96.078,1210,94.7,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,29s,12.448,96.6,101,141.4,31,161,15.303,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,29s 100ms,12.605,97.3,101,141.4,31,160,15.234,10.364,96.078,1230,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,102.2
,29s 200ms,12.5,99.4,101,141.4,31,163,15.199,10.364,96.078,1250,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,104.4
,29s 300ms,12.518,96.2,101,141.4,31,153,15.042,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.1
,29s 400ms,12.448,95.8,101,141.4,31,148,15.234,10.364,96.078,1200,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,29s 500ms,12.466,96.7,101,141.4,30,151,15.182,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.6
,29s 600ms,12.448,96.6,101,141.4,30,162,15.164,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,29s 700ms,12.535,96.4,100.8,141.12,30,161,15.147,10.364,96.078,1210,94.7,16,0,96.078,0,0,0,0,0,0,0,0,0,101.3
,29s 800ms,12.448,95.8,101,141.4,31,156,15.147,10.364,96.078,1200,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,100.6
,29s 900ms,12.518,96.4,101,141.4,31,149,15.216,10.364,96.078,1210,94.9,16,0,96.078,0,0,0,0,0,0,0,0,0,101.3
,30s,12.692,97.5,100.8,141.12,33,154,15.147,10.364,96.078,1240,94.7,16,0,96.078,0,0,0,0,0,0,0,0,0,102.4
,30s 100ms,12.518,98,100.8,141.12,33,161,15.129,10.364,96.078,1230,94.7,16,0,96.078,0,0,0,0,0,0,0,0,0,103
,30s 200ms,12.518,97.1,100.8,141.12,33,150,15.338,10.364,96.078,1220,94.7,16,0,96.078,0,0,0,0,0,0,0,0,0,102
,30s 300ms,12.448,96.6,100.6,140.84,29,154,15.025,10.364,96.078,1210,94.5,16,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,30s 400ms,12.64,96.6,100.8,141.12,30,153,15.147,10.364,96.078,1230,94.7,16,0,96.078,0,0,0,0,0,0,0,0,0,101.5
,30s 500ms,12.553,94.1,100.6,140.84,31,157,15.147,10.364,95.098,1190,94.5,16,0,95.098,0,0,0,0,0,0,0,0,0,99.9
,30s 600ms,12.796,91.7,100.1,140.14,30,157,15.164,10.318,93.137,1180,94,16,0,93.137,0,0,0,0,0,0,0,0,0,99.4
,30s 700ms,12.657,89.4,99.6,139.44,30,150,15.234,10.364,93.137,1140,93.6,16,0,93.137,0,0,0,0,0,0,0,0,0,96.9
,30s 800ms,12.709,90.1,99.2,138.88,31,155,15.182,10.318,93.137,1150,93.2,16,0,93.137,0,0,0,0,0,0,0,0,0,97.6
,30s 900ms,12.762,90.1,99.6,139.44,31,155,15.199,10.364,92.157,1150,93.6,16,0,92.157,0,0,0,0,0,0,0,0,0,98.7
,31s,12.64,88.7,99.4,139.16,32,147,15.06,10.364,92.157,1120,93.4,16,0,92.157,0,0,0,0,0,0,0,0,0,97.1
,31s 100ms,12.796,90,99.2,138.88,32,155,15.251,10.364,92.157,1160,93.2,16,0,92.157,0,0,0,0,0,0,0,0,0,98.6
,31s 200ms,12.901,89.6,98.9,138.46,32,159,15.164,10.318,92.157,1160,92.9,16,0,92.157,0,0,0,0,0,0,0,0,0,98.1
,31s 300ms,12.657,88.5,98.7,138.18,33,155,15.286,10.364,91.176,1120,92.7,16,0,91.176,0,0,0,0,0,0,0,0,0,98
,31s 400ms,12.796,88.3,98.9,138.46,32,156,15.286,10.318,91.176,1130,92.9,16,0,91.176,0,0,0,0,0,0,0,0,0,97.7
,31s 500ms,12.831,88,98.2,137.48,31,151,15.251,10.318,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.4
,31s 600ms,12.657,88.9,98.2,137.48,31,154,15.286,10.364,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,98.4
,31s 700ms,12.657,88,98.2,137.48,32,155,15.269,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.4
,31s 800ms,12.936,87.8,98.2,137.48,32,156,15.269,10.318,91.176,1140,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.2
,31s 900ms,12.709,87.6,98.2,137.48,31,152,15.269,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97
,32s,12.831,88,98.2,137.48,32,155,15.164,10.318,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.4
,32s 100ms,15.216,88,98.5,137.9,32,154,15.234,10.318,91.176,1340,92.5,16,0,91.176,0,0,0,0,0,0,0,0,0,97.4
,32s 200ms,12.762,87.1,98.2,137.48,31,155,15.39,10.364,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.4
,32s 300ms,12.814,87.3,98.2,137.48,32,153,15.216,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.6
,32s 400ms,12.831,86.9,98.2,137.48,31,151,15.147,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.2
,32s 500ms,12.779,87.5,98.2,137.48,31,155,15.251,10.364,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.9
,32s 600ms,12.779,87.1,98.2,137.48,31,152,15.216,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.4
,32s 700ms,12.744,86.7,98.2,137.48,32,150,15.199,10.318,91.176,1110,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96
,32s 800ms,12.97,86.9,98.2,137.48,31,154,15.199,10.318,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.2
,32s 900ms,12.849,88.3,98.2,137.48,31,153,15.39,10.364,91.176,1140,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.7
,33s,12.866,87.8,98.2,137.48,32,148,15.164,10.364,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.2
,33s 100ms,12.831,88,98.2,137.48,33,152,15.234,10.364,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.4
,33s 200ms,13.023,87.1,98.2,137.48,33,149,15.269,10.364,91.176,1140,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.4
,33s 300ms,12.831,87.8,98.2,137.48,31,149,17.636,10.364,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.2
,33s 400ms,12.744,87.8,98.5,137.9,31,154,15.234,10.364,91.176,1120,92.5,16,0,91.176,0,0,0,0,0,0,0,0,0,97.2
,33s 500ms,12.831,86.2,98.5,137.9,32,151,15.112,10.318,91.176,1110,92.5,16,0,91.176,0,0,0,0,0,0,0,0,0,95.4
,33s 600ms,12.849,87.1,98.5,137.9,33,152,15.425,10.364,91.176,1120,92.5,16,0,91.176,0,0,0,0,0,0,0,0,0,96.4
,33s 700ms,12.814,87.1,98.5,137.9,33,152,14.816,10.318,91.176,1120,92.5,16,0,91.176,0,0,0,0,0,0,0,0,0,96.4
,33s 800ms,12.831,87.3,98.2,137.48,31,153,15.286,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.6
,33s 900ms,12.779,87.5,98.2,137.48,32,149,15.338,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.9
,34s,12.849,87.1,98.2,137.48,33,148,15.269,10.364,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.4
,34s 100ms,12.831,87.6,98.2,137.48,34,153,15.216,10.318,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97
,34s 200ms,12.814,86.9,98.2,137.48,33,154,15.269,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.2
,34s 300ms,12.849,86.7,98.5,137.9,32,149,15.269,10.364,91.176,1120,92.5,16,0,91.176,0,0,0,0,0,0,0,0,0,96
,34s 400ms,12.866,87.6,98.2,137.48,33,155,15.199,10.364,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97
,34s 500ms,12.796,87.5,98.2,137.48,33,150,15.234,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.9
,34s 600ms,12.831,87.3,98.2,137.48,34,150,15.216,10.364,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.6
,34s 700ms,12.814,88.3,98.2,137.48,33,155,15.216,10.318,91.176,1140,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.7
,34s 800ms,12.727,87.5,98.2,137.48,33,152,15.286,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.9
,34s 900ms,12.796,87.5,98.2,137.48,34,151,15.251,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.9
,35s,12.762,87.6,98.2,137.48,34,153,15.408,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97
,35s 100ms,12.953,87.5,98.2,137.48,33,150,15.216,10.318,91.176,1140,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.9
,35s 200ms,12.779,86.7,98.2,137.48,32,150,15.042,10.364,91.176,1110,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96
,35s 300ms,12.796,87.6,98.2,137.48,32,147,15.234,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97
,35s 400ms,12.796,87.8,98.2,137.48,32,151,15.234,10.318,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.2
,35s 500ms,12.831,87.5,98.2,137.48,33,155,15.443,10.318,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.9
,35s 600ms,12.814,88,98.2,137.48,34,148,15.269,10.318,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97.4
,35s 700ms,12.814,87.6,98.2,137.48,33,154,15.182,10.364,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,97
,35s 800ms,12.674,86.9,98.2,137.48,33,147,15.286,10.318,91.176,1100,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.2
,35s 900ms,12.674,88.5,98.2,137.48,33,154,15.234,10.318,91.176,1130,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,98
