,,,,,,,,,,,,,,,,,,,,,,,,
,,Device history data,,,,,,,,,,,,,,,,,,,,,,
,Device,TMM 12026-3 I   HBC-SERIES,,,,,,,,,,,,,,,,,,,,,,
,Type,HBC-Series,,,,,,,,,,,,,,,,,,,,,,
,Firmware,5.77,,,,,,,,,,,,,,,,,,,,,,
,Serial number,37FF71063043523944312343,,,,,,,,,,,,,,,,,,,,,,
,Created,"16/01/2025, 15:20",,MGM ProTool v3.5.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Input voltage,Input current,Motor revolutions,Controller temperature,BEC voltage,BEC current,BEC temperature,Input request,Incoming power,Cruising speed (car),Motor temperature,Battery temperature,Output power,Automatic regulation,I*T fuse,Low voltage,High current,ESC overheated,Motor overheated,Battery overheated,HW current fuse,HW overvoltage/undervoltage,Pulse current
,,[V],[A],[x100rpm],[°C],[V],[A],[°C],[%],[W],[km/h],[°C],[°C],[%],,,,,,,,,,[A]
,4s 200ms,12.64,112.8,151.8,22,8.517,0,25,100,1430,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.9
,4s 300ms,12.657,112.4,151.8,23,8.522,0,25,100,1430,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.5
,4s 400ms,12.622,112.8,152.2,23,8.515,0,25,100,1430,143,0,0,100,0,0,0,0,0,0,0,0,0,113.9
,4s 500ms,12.605,112.4,151.8,22,8.513,0,25,100,1420,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.5
,4s 600ms,12.622,112.6,151.8,22,8.508,0,25,100,1430,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.7
,4s 700ms,12.866,112.4,151.8,22,8.511,0,25,100,1450,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.5
,4s 800ms,12.587,112.6,151.8,23,8.524,0,25,100,1420,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.7
,4s 900ms,12.605,112.2,151.8,23,8.52,0,25,100,1420,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.3
,5s,12.64,111.9,151.8,23,8.513,0,25,100,1420,142.6,0,0,100,0,0,0,0,0,0,0,0,0,112.9
,5s 100ms,12.622,111.7,151.8,23,8.515,0,25,100,1420,142.6,0,0,100,0,0,0,0,0,0,0,0,0,112.7
,5s 200ms,12.587,112.4,151.5,23,8.508,0,25,100,1420,142.4,0,0,100,0,0,0,0,0,0,0,0,0,113.5
,5s 300ms,12.657,112.2,151.8,24,8.511,0,25,100,1430,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.3
