% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 70.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:25:47 +0000
% Time (s), Channel A (Input 1) (V)
-2.814240000000e-02, -3.419639e-02
-2.807376000000e-02, -3.541769e-02
-2.800512000000e-02, -3.297509e-02
-2.793648000000e-02, -3.419639e-02
-2.786784000000e-02, -3.419639e-02
-2.779920000000e-02, -3.541769e-02
-2.773056000000e-02, -3.541769e-02
-2.766192000000e-02, -3.419639e-02
-2.759328000000e-02, -3.541769e-02
-2.752464000000e-02, -3.419639e-02
-2.745600000000e-02, -3.541769e-02
-2.738736000000e-02, -3.419639e-02
-2.731872000000e-02, -3.541769e-02
-2.725008000000e-02, -3.541769e-02
-2.718144000000e-02, -3.541769e-02
-2.711280000000e-02, -3.541769e-02
-2.704416000000e-02, -3.541769e-02
-2.697552000000e-02, -3.663899e-02
-2.690688000000e-02, -3.541769e-02
-2.683824000000e-02, -3.541769e-02
-2.676960000000e-02, -3.541769e-02
-2.670096000000e-02, -3.663899e-02
-2.663232000000e-02, -3.541769e-02
-2.656368000000e-02, -3.663899e-02
-2.649504000000e-02, -3.663899e-02
-2.642640000000e-02, -3.663899e-02
-2.635776000000e-02, -3.663899e-02
-2.628912000000e-02, -3.663899e-02
-2.622048000000e-02, -3.663899e-02
-2.615184000000e-02, -3.786029e-02
-2.608320000000e-02, -3.663899e-02
-2.601456000000e-02, -3.786029e-02
-2.594592000000e-02, -3.663899e-02
-2.587728000000e-02, -3.786029e-02
-2.580864000000e-02, -3.786029e-02
-2.574000000000e-02, -3.786029e-02
-2.567136000000e-02, -3.786029e-02
-2.560272000000e-02, -3.663899e-02
-2.553408000000e-02, -3.541769e-02
-2.546544000000e-02, -3.541769e-02
-2.539680000000e-02, -3.541769e-02
-2.532816000000e-02, -3.419639e-02
-2.525952000000e-02, -3.419639e-02
-2.519088000000e-02, -3.297509e-02
-2.512224000000e-02, -3.297509e-02
-2.505360000000e-02, -3.297509e-02
-2.498496000000e-02, -3.175379e-02
-2.491632000000e-02, -3.175379e-02
-2.484768000000e-02, -3.053249e-02
-2.477904000000e-02, -3.053249e-02
-2.471040000000e-02, -2.808989e-02
-2.464176000000e-02, -2.808989e-02
-2.457312000000e-02, -2.808989e-02
-2.450448000000e-02, -2.686859e-02
-2.443584000000e-02, -2.686859e-02
-2.436720000000e-02, -2.564729e-02
-2.429856000000e-02, -2.564729e-02
-2.422992000000e-02, -2.320469e-02
-2.416128000000e-02, -2.320469e-02
-2.409264000000e-02, -2.320469e-02
-2.402400000000e-02, -2.320469e-02
-2.395536000000e-02, -2.198339e-02
-2.388672000000e-02, -2.198339e-02
-2.381808000000e-02, -1.954079e-02
-2.374944000000e-02, -2.076209e-02
-2.368080000000e-02, -1.831949e-02
