% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 70.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:25:02 +0000
% Time (s), Channel A (V)
-3.9073320000e-02, -1.4655594248e-02
-3.9067600000e-02, -1.7098193290e-02
-3.9061880000e-02, -1.7098193290e-02
-3.9056160000e-02, -1.7098193290e-02
-3.9050440000e-02, -1.7098193290e-02
-3.9044720000e-02, -1.7098193290e-02
-3.9039000000e-02, -1.4655594248e-02
-3.9033280000e-02, -1.7098193290e-02
-3.9027560000e-02, -1.7098193290e-02
-3.9021840000e-02, -1.7098193290e-02
-3.9016120000e-02, -1.7098193290e-02
-3.9010400000e-02, -1.7098193290e-02
-3.9004680000e-02, -1.4655594248e-02
-3.8998960000e-02, -1.4655594248e-02
-3.8993240000e-02, -1.7098193290e-02
-3.8987520000e-02, -1.7098193290e-02
-3.8981800000e-02, -1.7098193290e-02
-3.8976080000e-02, -1.7098193290e-02
-3.8970360000e-02, -1.9540792331e-02
-3.8964640000e-02, -1.7098193290e-02
-3.8958920000e-02, -1.7098193290e-02
-3.8953200000e-02, -1.7098193290e-02
-3.8947480000e-02, -1.9540792331e-02
-3.8941760000e-02, -1.7098193290e-02
-3.8936040000e-02, -1.9540792331e-02
-3.8930320000e-02, -1.7098193290e-02
-3.8924600000e-02, -1.7098193290e-02
-3.8918880000e-02, -1.7098193290e-02
-3.8913160000e-02, -1.7098193290e-02
-3.8907440000e-02, -1.9540792331e-02
-3.8901720000e-02, -1.7098193290e-02
-3.8896000000e-02, -1.7098193290e-02
-3.8890280000e-02, -1.7098193290e-02
-3.8884560000e-02, -1.4655594248e-02
-3.8878840000e-02, -1.7098193290e-02
-3.8873120000e-02, -1.7098193290e-02
-3.8867400000e-02, -1.7098193290e-02
-3.8861680000e-02, -1.9540792331e-02
-3.8855960000e-02, -1.7098193290e-02
-3.8850240000e-02, -1.9540792331e-02
-3.8844520000e-02, -1.7098193290e-02
-3.8838800000e-02, -1.9540792331e-02
-3.8833080000e-02, -1.7098193290e-02
-3.8827360000e-02, -1.7098193290e-02
-3.8821640000e-02, -1.7098193290e-02
-3.8815920000e-02, -1.7098193290e-02
-3.8810200000e-02, -1.9540792331e-02
-3.8804480000e-02, -1.7098193290e-02
-3.8798760000e-02, -1.7098193290e-02
-3.8793040000e-02, -1.9540792331e-02
-3.8787320000e-02, -1.9540792331e-02
-3.8781600000e-02, -1.7098193290e-02
-3.8775880000e-02, -1.9540792331e-02
-3.8770160000e-02, -1.7098193290e-02
-3.8764440000e-02, -1.9540792331e-02
-3.8758720000e-02, -1.7098193290e-02
-3.8753000000e-02, -1.7098193290e-02
-3.8747280000e-02, -1.7098193290e-02
-3.8741560000e-02, -1.9540792331e-02
-3.8735840000e-02, -1.7098193290e-02
-3.8730120000e-02, -1.9540792331e-02
-3.8724400000e-02, -1.9540792331e-02
-3.8718680000e-02, -1.9540792331e-02
-3.8712960000e-02, -1.9540792331e-02
-3.8707240000e-02, -1.9540792331e-02
-3.8701520000e-02, -1.9540792331e-02
-3.8695800000e-02, -1.9540792331e-02
-3.8690080000e-02, -1.9540792331e-02
-3.8684360000e-02, -1.9540792331e-02
-3.8678640000e-02, -1.7098193290e-02
-3.8672920000e-02, -1.7098193290e-02
-3.8667200000e-02, -1.9540792331e-02
-3.8661480000e-02, -1.9540792331e-02
-3.8655760000e-02, -1.9540792331e-02
-3.8650040000e-02, -1.9540792331e-02
-3.8644320000e-02, -1.9540792331e-02
-3.8638600000e-02, -1.9540792331e-02
-3.8632880000e-02, -1.9540792331e-02
-3.8627160000e-02, -1.7098193290e-02
-3.8621440000e-02, -1.9540792331e-02
-3.8615720000e-02, -1.9540792331e-02
-3.8610000000e-02, -1.9540792331e-02
-3.8604280000e-02, -1.9540792331e-02
-3.8598560000e-02, -1.9540792331e-02
-3.8592840000e-02, -2.1983391372e-02
-3.8587120000e-02, -1.9540792331e-02
-3.8581400000e-02, -1.9540792331e-02
-3.8575680000e-02, -1.9540792331e-02
-3.8569960000e-02, -2.1983391372e-02
-3.8564240000e-02, -1.9540792331e-02
-3.8558520000e-02, -1.9540792331e-02
-3.8552800000e-02, -1.7098193290e-02
-3.8547080000e-02, -1.7098193290e-02
-3.8541360000e-02, -1.9540792331e-02
-3.8535640000e-02, -1.9540792331e-02
-3.8529920000e-02, -1.9540792331e-02
-3.8524200000e-02, -1.9540792331e-02
-3.8518480000e-02, -1.9540792331e-02
-3.8512760000e-02, -2.1983391372e-02
-3.8507040000e-02, -1.9540792331e-02
-3.8501320000e-02, -1.9540792331e-02
-3.8495600000e-02, -1.9540792331e-02
-3.8489880000e-02, -1.9540792331e-02
-3.8484160000e-02, -2.1983391372e-02
-3.8478440000e-02, -1.9540792331e-02
-3.8472720000e-02, -1.9540792331e-02
-3.8467000000e-02, -1.9540792331e-02
-3.8461280000e-02, -1.9540792331e-02
-3.8455560000e-02, -1.7098193290e-02
-3.8449840000e-02, -1.9540792331e-02
-3.8444120000e-02, -1.9540792331e-02
-3.8438400000e-02, -2.1983391372e-02
-3.8432680000e-02, -1.9540792331e-02
-3.8426960000e-02, -1.9540792331e-02
-3.8421240000e-02, -1.7098193290e-02
-3.8415520000e-02, -2.1983391372e-02
-3.8409800000e-02, -2.1983391372e-02
-3.8404080000e-02, -1.9540792331e-02
-3.8398360000e-02, -1.9540792331e-02
-3.8392640000e-02, -1.9540792331e-02
-3.8386920000e-02, -1.9540792331e-02
-3.8381200000e-02, -1.9540792331e-02
-3.8375480000e-02, -1.9540792331e-02
-3.8369760000e-02, -2.1983391372e-02
-3.8364040000e-02, -1.7098193290e-02
-3.8358320000e-02, -1.9540792331e-02
-3.8352600000e-02, -2.1983391372e-02
-3.8346880000e-02, -2.1983391372e-02
-3.8341160000e-02, -1.9540792331e-02
-3.8335440000e-02, -1.9540792331e-02
-3.8329720000e-02, -2.1983391372e-02
-3.8324000000e-02, -1.9540792331e-02
-3.8318280000e-02, -1.9540792331e-02
-3.8312560000e-02, -1.9540792331e-02
-3.8306840000e-02, -1.9540792331e-02
-3.8301120000e-02, -1.9540792331e-02
-3.8295400000e-02, -1.9540792331e-02
-3.8289680000e-02, -1.9540792331e-02
-3.8283960000e-02, -1.9540792331e-02
-3.8278240000e-02, -1.9540792331e-02
-3.8272520000e-02, -1.9540792331e-02
-3.8266800000e-02, -2.1983391372e-02
-3.8261080000e-02, -2.1983391372e-02
-3.8255360000e-02, -1.9540792331e-02
-3.8249640000e-02, -1.9540792331e-02
-3.8243920000e-02, -2.1983391372e-02
-3.8238200000e-02, -2.1983391372e-02
-3.8232480000e-02, -1.9540792331e-02
-3.8226760000e-02, -1.9540792331e-02
-3.8221040000e-02, -1.9540792331e-02
-3.8215320000e-02, -1.7098193290e-02
-3.8209600000e-02, -1.9540792331e-02
-3.8203880000e-02, -1.9540792331e-02
-3.8198160000e-02, -1.9540792331e-02
-3.8192440000e-02, -2.1983391372e-02
-3.8186720000e-02, -1.9540792331e-02
-3.8181000000e-02, -1.9540792331e-02
-3.8175280000e-02, -1.9540792331e-02
-3.8169560000e-02, -2.1983391372e-02
-3.8163840000e-02, -2.1983391372e-02
-3.8158120000e-02, -2.1983391372e-02
-3.8152400000e-02, -2.1983391372e-02
-3.8146680000e-02, -1.9540792331e-02
-3.8140960000e-02, -1.9540792331e-02
-3.8135240000e-02, -2.1983391372e-02
-3.8129520000e-02, -1.9540792331e-02
-3.8123800000e-02, -2.1983391372e-02
-3.8118080000e-02, -1.9540792331e-02
-3.8112360000e-02, -2.1983391372e-02
-3.8106640000e-02, -2.1983391372e-02
-3.8100920000e-02, -2.1983391372e-02
-3.8095200000e-02, -1.9540792331e-02
-3.8089480000e-02, -1.7098193290e-02
-3.8083760000e-02, -2.1983391372e-02
-3.8078040000e-02, -2.1983391372e-02
-3.8072320000e-02, -1.9540792331e-02
-3.8066600000e-02, -2.1983391372e-02
-3.8060880000e-02, -2.1983391372e-02
-3.8055160000e-02, -2.1983391372e-02
-3.8049440000e-02, -2.1983391372e-02
-3.8043720000e-02, -2.1983391372e-02
-3.8038000000e-02, -1.9540792331e-02
-3.8032280000e-02, -2.4425990414e-02
