% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 50.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:36:35 +0000
% Time (s), Channel A (Input 1) (V)
-1.117659200000e-02, 6.106498e-02
-1.112753600000e-02, 5.984368e-02
-1.107848000000e-02, 6.106498e-02
-1.102942400000e-02, 5.984368e-02
-1.098036800000e-02, 6.106498e-02
-1.093131200000e-02, 6.106498e-02
-1.088225600000e-02, 5.984368e-02
-1.083320000000e-02, 5.984368e-02
-1.078414400000e-02, 5.984368e-02
-1.073508800000e-02, 5.984368e-02
-1.068603200000e-02, 5.984368e-02
-1.063697600000e-02, 5.984368e-02
-1.058792000000e-02, 5.984368e-02
-1.053886400000e-02, 6.106498e-02
-1.048980800000e-02, 6.228628e-02
-1.044075200000e-02, 6.106498e-02
-1.039169600000e-02, 6.106498e-02
-1.034264000000e-02, 6.228628e-02
-1.029358400000e-02, 6.106498e-02
-1.024452800000e-02, 5.984368e-02
-1.019547200000e-02, 5.984368e-02
-1.014641600000e-02, 5.984368e-02
-1.009736000000e-02, 5.862238e-02
-1.004830400000e-02, 5.862238e-02
-9.999248000000e-03, 5.740108e-02
-9.950192000000e-03, 5.740108e-02
-9.901136000000e-03, 5.617978e-02
-9.852080000000e-03, 5.740108e-02
-9.803024000000e-03, 5.373718e-02
-9.753968000000e-03, 5.373718e-02
-9.704912000000e-03, 5.373718e-02
-9.655856000000e-03, 5.251588e-02
-9.606800000000e-03, 5.007328e-02
-9.557744000000e-03, 5.007328e-02
-9.508688000000e-03, 4.763068e-02
-9.459632000000e-03, 4.763068e-02
-9.410576000000e-03, 4.763068e-02
-9.361520000000e-03, 4.640938e-02
-9.312464000000e-03, 4.640938e-02
-9.263408000000e-03, 4.640938e-02
-9.214352000000e-03, 4.274548e-02
-9.165296000000e-03, 4.274548e-02
-9.116240000000e-03, 4.274548e-02
-9.067184000000e-03, 4.274548e-02
-9.018128000000e-03, 4.030288e-02
-8.969072000000e-03, 4.030288e-02
-8.920016000000e-03, 3.786029e-02
-8.870960000000e-03, 3.663899e-02
-8.821904000000e-03, 3.541769e-02
-8.772848000000e-03, 3.419639e-02
-8.723792000000e-03, 3.297509e-02
-8.674736000000e-03, 3.297509e-02
-8.625680000000e-03, 3.175379e-02
-8.576624000000e-03, 2.931119e-02
-8.527568000000e-03, 2.808989e-02
-8.478512000000e-03, 2.686859e-02
-8.429456000000e-03, 2.686859e-02
-8.380400000000e-03, 2.564729e-02
-8.331344000000e-03, 2.320469e-02
-8.282288000000e-03, 2.198339e-02
-8.233232000000e-03, 2.198339e-02
-8.184176000000e-03, 1.954079e-02
-8.135120000000e-03, 2.076209e-02
-8.086064000000e-03, 1.831949e-02
-8.037008000000e-03, 1.831949e-02
-7.987952000000e-03, 1.709819e-02
-7.938896000000e-03, 1.709819e-02
-7.889840000000e-03, 1.587689e-02
-7.840784000000e-03, 1.343429e-02
-7.791728000000e-03, 1.343429e-02
-7.742672000000e-03, 1.221300e-02
-7.693616000000e-03, 1.099170e-02
-7.644560000000e-03, 9.770396e-03
-7.595504000000e-03, 9.770396e-03
-7.546448000000e-03, 8.549097e-03
-7.497392000000e-03, 7.327797e-03
-7.448336000000e-03, 7.327797e-03
-7.399280000000e-03, 6.106498e-03
-7.350224000000e-03, 6.106498e-03
-7.301168000000e-03, 4.885198e-03
-7.252112000000e-03, 2.442599e-03
-7.203056000000e-03, 1.221300e-03
-7.154000000000e-03, 0.000000e+00
-7.104944000000e-03, -1.221300e-03
-7.055888000000e-03, -2.442599e-03
-7.006832000000e-03, -4.885198e-03
-6.957776000000e-03, -4.885198e-03
-6.908720000000e-03, -6.106498e-03
-6.859664000000e-03, -7.327797e-03
-6.810608000000e-03, -8.549097e-03
-6.761552000000e-03, -9.770396e-03
-6.712496000000e-03, -1.099170e-02
-6.663440000000e-03, -1.343429e-02
-6.614384000000e-03, -1.465559e-02
-6.565328000000e-03, -1.587689e-02
-6.516272000000e-03, -1.709819e-02
-6.467216000000e-03, -1.831949e-02
-6.418160000000e-03, -1.831949e-02
-6.369104000000e-03, -1.954079e-02
-6.320048000000e-03, -1.954079e-02
-6.270992000000e-03, -2.198339e-02
-6.221936000000e-03, -2.320469e-02
-6.172880000000e-03, -2.442599e-02
-6.123824000000e-03, -2.686859e-02
-6.074768000000e-03, -2.564729e-02
-6.025712000000e-03, -2.808989e-02
-5.976656000000e-03, -2.808989e-02
-5.927600000000e-03, -3.175379e-02
-5.878544000000e-03, -3.175379e-02
-5.829488000000e-03, -3.297509e-02
-5.780432000000e-03, -3.419639e-02
-5.731376000000e-03, -3.663899e-02
-5.682320000000e-03, -3.786029e-02
-5.633264000000e-03, -3.786029e-02
-5.584208000000e-03, -3.908158e-02
-5.535152000000e-03, -4.030288e-02
-5.486096000000e-03, -4.152418e-02
-5.437040000000e-03, -4.152418e-02
-5.387984000000e-03, -4.274548e-02
-5.338928000000e-03, -4.274548e-02
-5.289872000000e-03, -4.396678e-02
-5.240816000000e-03, -4.396678e-02
-5.191760000000e-03, -4.518808e-02
-5.142704000000e-03, -4.640938e-02
-5.093648000000e-03, -4.518808e-02
-5.044592000000e-03, -4.640938e-02
-4.995536000000e-03, -4.763068e-02
-4.946480000000e-03, -4.640938e-02
-4.897424000000e-03, -4.763068e-02
-4.848368000000e-03, -4.640938e-02
-4.799312000000e-03, -4.763068e-02
-4.750256000000e-03, -4.763068e-02
-4.701200000000e-03, -4.763068e-02
-4.652144000000e-03, -4.885198e-02
-4.603088000000e-03, -4.885198e-02
-4.554032000000e-03, -4.885198e-02
-4.504976000000e-03, -4.763068e-02
-4.455920000000e-03, -4.885198e-02
-4.406864000000e-03, -5.007328e-02
-4.357808000000e-03, -4.885198e-02
-4.308752000000e-03, -5.007328e-02
-4.259696000000e-03, -5.129458e-02
-4.210640000000e-03, -5.251588e-02
-4.161584000000e-03, -5.129458e-02
-4.112528000000e-03, -5.251588e-02
-4.063472000000e-03, -5.251588e-02
-4.014416000000e-03, -5.251588e-02
-3.965360000000e-03, -5.251588e-02
-3.916304000000e-03, -5.251588e-02
-3.867248000000e-03, -5.251588e-02
-3.818192000000e-03, -5.251588e-02
-3.769136000000e-03, -5.373718e-02
-3.720080000000e-03, -5.251588e-02
-3.671024000000e-03, -5.251588e-02
-3.621968000000e-03, -5.373718e-02
-3.572912000000e-03, -5.251588e-02
-3.523856000000e-03, -5.495848e-02
-3.474800000000e-03, -5.251588e-02
-3.425744000000e-03, -5.373718e-02
-3.376688000000e-03, -5.251588e-02
-3.327632000000e-03, -5.251588e-02
-3.278576000000e-03, -5.373718e-02
-3.229520000000e-03, -5.373718e-02
-3.180464000000e-03, -5.129458e-02
-3.131408000000e-03, -5.373718e-02
-3.082352000000e-03, -5.373718e-02
-3.033296000000e-03, -5.251588e-02
-2.984240000000e-03, -5.373718e-02
-2.935184000000e-03, -5.373718e-02
-2.886128000000e-03, -5.373718e-02
-2.837072000000e-03, -5.373718e-02
-2.788016000000e-03, -5.373718e-02
-2.738960000000e-03, -5.251588e-02
-2.689904000000e-03, -5.129458e-02
-2.640848000000e-03, -5.129458e-02
-2.591792000000e-03, -5.251588e-02
-2.542736000000e-03, -5.129458e-02
-2.493680000000e-03, -5.007328e-02
-2.444624000000e-03, -5.007328e-02
-2.395568000000e-03, -5.007328e-02
-2.346512000000e-03, -4.763068e-02
-2.297456000000e-03, -4.763068e-02
-2.248400000000e-03, -4.763068e-02
-2.199344000000e-03, -4.640938e-02
-2.150288000000e-03, -4.640938e-02
-2.101232000000e-03, -4.518808e-02
-2.052176000000e-03, -4.396678e-02
-2.003120000000e-03, -4.274548e-02
-1.954064000000e-03, -4.152418e-02
-1.905008000000e-03, -4.152418e-02
-1.855952000000e-03, -4.030288e-02
-1.806896000000e-03, -4.030288e-02
-1.757840000000e-03, -3.786029e-02
-1.708784000000e-03, -3.663899e-02
-1.659728000000e-03, -3.663899e-02
-1.610672000000e-03, -3.663899e-02
-1.561616000000e-03, -3.419639e-02
-1.512560000000e-03, -3.419639e-02
-1.463504000000e-03, -3.297509e-02
-1.414448000000e-03, -3.297509e-02
-1.365392000000e-03, -3.053249e-02
-1.316336000000e-03, -2.931119e-02
-1.267280000000e-03, -2.808989e-02
-1.218224000000e-03, -2.564729e-02
-1.169168000000e-03, -2.564729e-02
-1.120112000000e-03, -2.442599e-02
-1.071056000000e-03, -2.442599e-02
-1.022000000000e-03, -2.320469e-02
-9.729440000000e-04, -1.954079e-02
-9.238880000000e-04, -2.076209e-02
-8.748320000000e-04, -1.831949e-02
-8.257760000000e-04, -1.709819e-02
-7.767200000000e-04, -1.465559e-02
-7.276640000000e-04, -1.343429e-02
-6.786080000000e-04, -1.221300e-02
-6.295520000000e-04, -1.221300e-02
-5.804960000000e-04, -1.099170e-02
-5.314400000000e-04, -1.099170e-02
-4.823840000000e-04, -9.770396e-03
-4.333280000000e-04, -8.549097e-03
-3.842720000000e-04, -8.549097e-03
-3.352160000000e-04, -7.327797e-03
-2.861600000000e-04, -6.106498e-03
-2.371040000000e-04, -4.885198e-03
-1.880480000000e-04, -3.663899e-03
-1.389920000000e-04, -2.442599e-03
-8.993600000000e-05, 0.000000e+00
-4.088000000000e-05, 0.000000e+00
8.176000000002e-06, 1.221300e-03
5.723200000000e-05, 1.221300e-03
1.062880000000e-04, 3.663899e-03
1.553440000000e-04, 4.885198e-03
2.044000000000e-04, 4.885198e-03
2.534560000000e-04, 6.106498e-03
3.025120000000e-04, 7.327797e-03
3.515680000000e-04, 8.549097e-03
4.006240000000e-04, 9.770396e-03
4.496800000000e-04, 1.099170e-02
4.987360000000e-04, 1.099170e-02
5.477920000000e-04, 1.221300e-02
5.968480000000e-04, 1.465559e-02
6.459040000000e-04, 1.465559e-02
6.949600000000e-04, 1.709819e-02
7.440160000000e-04, 1.831949e-02
7.930720000000e-04, 1.709819e-02
8.421280000000e-04, 1.954079e-02
8.911840000000e-04, 1.954079e-02
9.402400000000e-04, 2.076209e-02
9.892960000000e-04, 2.198339e-02
1.038352000000e-03, 2.198339e-02
1.087408000000e-03, 2.442599e-02
1.136464000000e-03, 2.442599e-02
1.185520000000e-03, 2.808989e-02
1.234576000000e-03, 2.931119e-02
1.283632000000e-03, 2.931119e-02
1.332688000000e-03, 3.053249e-02
1.381744000000e-03, 3.175379e-02
1.430800000000e-03, 3.175379e-02
1.479856000000e-03, 3.297509e-02
1.528912000000e-03, 3.541769e-02
1.577968000000e-03, 3.663899e-02
1.627024000000e-03, 3.908158e-02
1.676080000000e-03, 3.908158e-02
1.725136000000e-03, 4.030288e-02
1.774192000000e-03, 4.152418e-02
1.823248000000e-03, 4.152418e-02
1.872304000000e-03, 4.396678e-02
1.921360000000e-03, 4.518808e-02
1.970416000000e-03, 4.518808e-02
2.019472000000e-03, 4.763068e-02
2.068528000000e-03, 4.763068e-02
2.117584000000e-03, 4.885198e-02
2.166640000000e-03, 5.007328e-02
2.215696000000e-03, 5.129458e-02
2.264752000000e-03, 5.251588e-02
2.313808000000e-03, 5.251588e-02
2.362864000000e-03, 5.251588e-02
2.411920000000e-03, 5.373718e-02
2.460976000000e-03, 5.373718e-02
2.510032000000e-03, 5.495848e-02
2.559088000000e-03, 5.495848e-02
2.608144000000e-03, 5.495848e-02
2.657200000000e-03, 5.495848e-02
2.706256000000e-03, 5.495848e-02
2.755312000000e-03, 5.495848e-02
2.804368000000e-03, 5.740108e-02
2.853424000000e-03, 5.617978e-02
2.902480000000e-03, 5.617978e-02
2.951536000000e-03, 5.617978e-02
3.000592000000e-03, 5.617978e-02
3.049648000000e-03, 5.740108e-02
3.098704000000e-03, 5.740108e-02
3.147760000000e-03, 5.740108e-02
3.196816000000e-03, 5.740108e-02
3.245872000000e-03, 5.740108e-02
3.294928000000e-03, 5.862238e-02
3.343984000000e-03, 5.862238e-02
3.393040000000e-03, 5.862238e-02
3.442096000000e-03, 5.984368e-02
3.491152000000e-03, 5.984368e-02
3.540208000000e-03, 5.984368e-02
3.589264000000e-03, 5.984368e-02
3.638320000000e-03, 5.984368e-02
3.687376000000e-03, 6.106498e-02
3.736432000000e-03, 6.106498e-02
3.785488000000e-03, 5.984368e-02
3.834544000000e-03, 6.106498e-02
3.883600000000e-03, 5.984368e-02
3.932656000000e-03, 5.984368e-02
3.981712000000e-03, 5.984368e-02
4.030768000000e-03, 5.984368e-02
4.079824000000e-03, 5.984368e-02
4.128880000000e-03, 6.106498e-02
4.177936000000e-03, 5.984368e-02
4.226992000000e-03, 6.106498e-02
4.276048000000e-03, 5.984368e-02
4.325104000000e-03, 6.106498e-02
4.374160000000e-03, 6.106498e-02
4.423216000000e-03, 5.984368e-02
4.472272000000e-03, 6.106498e-02
4.521328000000e-03, 6.106498e-02
4.570384000000e-03, 5.984368e-02
4.619440000000e-03, 5.984368e-02
4.668496000000e-03, 6.106498e-02
4.717552000000e-03, 5.984368e-02
4.766608000000e-03, 5.984368e-02
4.815664000000e-03, 5.984368e-02
4.864720000000e-03, 5.862238e-02
4.913776000000e-03, 5.984368e-02
4.962832000000e-03, 5.862238e-02
5.011888000000e-03, 5.740108e-02
5.060944000000e-03, 5.740108e-02
5.110000000000e-03, 5.495848e-02
5.159056000000e-03, 5.495848e-02
5.208112000000e-03, 5.373718e-02
5.257168000000e-03, 5.251588e-02
5.306224000000e-03, 5.251588e-02
5.355280000000e-03, 5.007328e-02
5.404336000000e-03, 5.007328e-02
5.453392000000e-03, 5.129458e-02
5.502448000000e-03, 4.763068e-02
5.551504000000e-03, 4.763068e-02
5.600560000000e-03, 4.640938e-02
5.649616000000e-03, 4.640938e-02
5.698672000000e-03, 4.518808e-02
5.747728000000e-03, 4.396678e-02
5.796784000000e-03, 4.396678e-02
5.845840000000e-03, 4.274548e-02
5.894896000000e-03, 4.030288e-02
5.943952000000e-03, 4.030288e-02
5.993008000000e-03, 3.908158e-02
6.042064000000e-03, 3.908158e-02
6.091120000000e-03, 3.663899e-02
6.140176000000e-03, 3.663899e-02
6.189232000000e-03, 3.541769e-02
6.238288000000e-03, 3.419639e-02
6.287344000000e-03, 3.297509e-02
6.336400000000e-03, 3.175379e-02
6.385456000000e-03, 2.931119e-02
6.434512000000e-03, 2.931119e-02
6.483568000000e-03, 2.931119e-02
6.532624000000e-03, 2.564729e-02
6.581680000000e-03, 2.442599e-02
6.630736000000e-03, 2.198339e-02
6.679792000000e-03, 2.320469e-02
6.728848000000e-03, 2.198339e-02
6.777904000000e-03, 2.198339e-02
6.826960000000e-03, 1.954079e-02
6.876016000000e-03, 1.954079e-02
6.925072000000e-03, 1.954079e-02
6.974128000000e-03, 1.709819e-02
7.023184000000e-03, 1.709819e-02
7.072240000000e-03, 1.587689e-02
7.121296000000e-03, 1.587689e-02
7.170352000000e-03, 1.343429e-02
7.219408000000e-03, 1.343429e-02
7.268464000000e-03, 1.221300e-02
7.317520000000e-03, 9.770396e-03
7.366576000000e-03, 8.549097e-03
7.415632000000e-03, 7.327797e-03
7.464688000000e-03, 7.327797e-03
7.513744000000e-03, 7.327797e-03
7.562800000000e-03, 6.106498e-03
7.611856000000e-03, 4.885198e-03
7.660912000000e-03, 2.442599e-03
7.709968000000e-03, 2.442599e-03
7.759024000000e-03, 1.221300e-03
7.808080000000e-03, 0.000000e+00
7.857136000000e-03, -1.221300e-03
7.906192000000e-03, -2.442599e-03
7.955248000000e-03, -4.885198e-03
8.004304000000e-03, -7.327797e-03
8.053360000000e-03, -8.549097e-03
8.102416000000e-03, -8.549097e-03
8.151472000000e-03, -1.099170e-02
8.200528000000e-03, -1.099170e-02
8.249584000000e-03, -1.343429e-02
8.298640000000e-03, -1.465559e-02
8.347696000000e-03, -1.465559e-02
8.396752000000e-03, -1.587689e-02
8.445808000000e-03, -1.587689e-02
8.494864000000e-03, -1.831949e-02
8.543920000000e-03, -1.831949e-02
8.592976000000e-03, -2.076209e-02
8.642032000000e-03, -2.198339e-02
8.691088000000e-03, -2.320469e-02
8.740144000000e-03, -2.442599e-02
8.789200000000e-03, -2.564729e-02
8.838256000000e-03, -2.686859e-02
8.887312000000e-03, -2.931119e-02
8.936368000000e-03, -2.808989e-02
8.985424000000e-03, -3.053249e-02
9.034480000000e-03, -3.053249e-02
9.083536000000e-03, -3.175379e-02
9.132592000000e-03, -3.419639e-02
9.181648000000e-03, -3.419639e-02
9.230704000000e-03, -3.663899e-02
